trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
432,True,"{'a': 0, 'e': 0}",20,12,16.10432190426006,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,True,"{'a': 0, 'e': 0}",30,8,31.46480223422362,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,True,"{'a': 0, 'e': 0}",20,13,15.20732938553107,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,True,"{'a': 0, 'e': 0}",20,8,19.93307245633685,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,True,"{'a': 0, 'e': 0}",35,21,29.20636698420932,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,True,"{'a': 0, 'e': 0}",30,19,18.24033639941089,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,True,"{'a': 0, 'e': 0}",20,13,12.38999356618057,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,True,"{'a': 0, 'e': 0}",25,10,24.19055020026019,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,True,"{'a': 0, 'e': 0}",20,14,12.254847931581203,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,True,"{'a': 0, 'e': 0}",20,12,14.415920936504005,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,True,"{'a': 0, 'e': 0}",20,6,26.065341425078003,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,True,"{'a': 0, 'e': 0}",20,8,21.029066065140817,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,True,"{'a': 0, 'e': 0}",20,6,21.80188340288484,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,True,"{'a': 0, 'e': 0}",25,14,20.310351166776044,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,True,"{'a': 0, 'e': 0}",35,22,25.203326969287858,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,True,"{'a': 0, 'e': 0}",20,16,8.498941761167625,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,True,"{'a': 0, 'e': 0}",25,12,27.35703143717507,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,True,"{'a': 0, 'e': 0}",20,8,20.105027531334372,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,True,"{'a': 0, 'e': 0}",25,14,22.292971446149565,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,True,"{'a': 0, 'e': 0}",20,3,28.170608682689217,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,True,"{'a': 0, 'e': 0}",25,16,18.788326103617166,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,True,"{'a': 0, 'e': 0}",25,13,23.626964533271614,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,True,"{'a': 0, 'e': 0}",20,11,17.301552228941883,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,True,"{'a': 0, 'e': 0}",20,10,13.883966000563746,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,True,"{'a': 0, 'e': 0}",25,17,14.956094272232425,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,True,"{'a': 0, 'e': 0}",20,12,14.350746708830552,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,True,"{'a': 0, 'e': 0}",25,10,26.04752101990345,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,True,"{'a': 0, 'e': 0}",20,8,15.899251186306346,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,True,"{'a': 0, 'e': 0}",20,12,17.579682175512605,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,True,"{'a': 0, 'e': 0}",25,13,19.686609220696234,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,True,"{'a': 0, 'e': 0}",20,12,17.259304975667604,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,True,"{'a': 0, 'e': 0}",20,6,27.743970490595597,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,True,"{'a': 0, 'e': 0}",20,8,22.912131905860832,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,True,"{'a': 0, 'e': 0}",25,7,32.1907861059628,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,True,"{'a': 0, 'e': 0}",25,17,14.497049936092836,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,True,"{'a': 0, 'e': 0}",30,21,15.673488997715836,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,True,"{'a': 0, 'e': 0}",25,16,18.99375264347687,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,True,"{'a': 0, 'e': 0}",20,15,7.038850474700208,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,True,"{'a': 0, 'e': 0}",25,11,26.652717728842106,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,True,"{'a': 0, 'e': 0}",20,3,21.218525133710312,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,True,"{'a': 0, 'e': 0}",25,19,10.793824150436855,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,True,"{'a': 0, 'e': 0}",30,13,30.089121337352303,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,True,"{'a': 0, 'e': 0}",20,3,27.852663516845517,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,True,"{'a': 0, 'e': 0}",20,13,14.975243125617489,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,True,"{'a': 0, 'e': 0}",20,3,34.295887649995215,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,True,"{'a': 0, 'e': 0}",35,13,37.957260812930706,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,True,"{'a': 0, 'e': 0}",20,6,29.186946793212716,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,True,"{'a': 0, 'e': 0}",25,12,21.134104849821696,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,True,"{'a': 0, 'e': 0}",20,6,25.354587205701065,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,True,"{'a': 0, 'e': 0}",20,14,12.150766740130981,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,True,"{'a': 0, 'e': 0}",20,9,13.662042915131924,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,True,"{'a': 0, 'e': 0}",25,13,20.67001735209586,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,True,"{'a': 0, 'e': 0}",20,9,19.785450764696236,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,True,"{'a': 0, 'e': 0}",25,11,22.518839920934077,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,True,"{'a': 0, 'e': 0}",20,9,13.896323647007334,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,True,"{'a': 0, 'e': 0}",20,13,13.356940170234743,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,True,"{'a': 0, 'e': 0}",20,7,16.762849619178574,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,True,"{'a': 0, 'e': 0}",25,15,19.648483066270153,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,True,"{'a': 0, 'e': 0}",20,15,10.643605513453094,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,True,"{'a': 0, 'e': 0}",20,9,19.3462390803771,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,True,"{'a': 0, 'e': 0}",30,17,25.83756257613572,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
493,True,"{'a': 0, 'e': 0}",20,10,14.314039176445508,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,True,"{'a': 0, 'e': 0}",25,10,22.591083620265117,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
495,True,"{'a': 0, 'e': 0}",25,12,23.401002989648532,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
496,True,"{'a': 0, 'e': 0}",30,15,25.649247778575432,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,True,"{'a': 0, 'e': 0}",25,20,9.773366865861744,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
498,True,"{'a': 0, 'e': 0}",25,18,15.197932476868095,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
499,True,"{'a': 0, 'e': 0}",20,9,18.540694136977855,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
500,True,"{'a': 0, 'e': 0}",35,19,30.164931997439542,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
